Place,Pseudo,Parties,Victoires,ITM,% ITM,Recaves,Recaves en €,Bulles,Buy in,Frais,Gains,Bénéfices
0,WINAMAX,7,0,0,0%,0,0.0,0,0.0,0.0,54.0,54.0
1,Bisat,7,3,4,57%,2,20.0,1,70.0,90.0,144.9,54.900000000000006
2,Maitre Mat,6,1,3,50%,0,0.0,0,60.0,60.0,92.25,32.25
3,Krazy Kat,5,2,2,40%,2,20.0,0,50.0,70.0,81.9,11.900000000000006
4,Nolimythe,7,1,3,43%,1,10.0,2,70.0,80.0,90.0,10.0
5,philou4675,1,0,1,100%,0,0.0,0,10.0,10.0,16.2,6.199999999999999
6,Luckystefy,1,0,1,100%,1,10.0,0,10.0,20.0,19.8,-0.1999999999999993
7,ServiceRever,1,0,0,0%,0,0.0,0,10.0,10.0,0.0,-10.0
8,123CYRILLE,4,0,0,0%,0,0.0,1,40.0,40.0,0.0,-40.0
9,odrAAdeKK,7,0,2,29%,2,20.0,1,70.0,90.0,40.95,-49.05
10,shark feeder,7,0,0,0%,0,0.0,2,70.0,70.0,0.0,-70.0
